Entity	Relation	Value	Iteration of Promotion	Probability	Source	Entity literalStrings	Value literalStrings	Best Entity literalString	Best Value literalString	Categories for Entity	Categories for Value	Candidate Source
concept:personasia:michael_berne	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Michael%20Berne	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Michael Berne" 	"http://en.wikipedia.org/wiki/Michael%20Berne" 	Michael Berne	http://en.wikipedia.org/wiki/Michael%20Berne			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personeurope:john_bradstreet	concept:haswikipediaurl	http://en.wikipedia.org/wiki/John%20Bradstreet	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"John Bradstreet" 	"http://en.wikipedia.org/wiki/John%20Bradstreet" 	John Bradstreet	http://en.wikipedia.org/wiki/John%20Bradstreet			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:female:ramendra_kumar	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ramendra%20Kumar	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ramendra Kumar" 	"http://en.wikipedia.org/wiki/Ramendra%20Kumar" 	Ramendra Kumar	http://en.wikipedia.org/wiki/Ramendra%20Kumar			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:lake:bogstadvannet	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Bogstadvannet	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Bogstadvannet" "bogstadvannet" 	"http://en.wikipedia.org/wiki/Bogstadvannet" 	Bogstadvannet	http://en.wikipedia.org/wiki/Bogstadvannet			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:drug:salcatonin	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Salcatonin	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"salcatonin" "Salcatonin" 	"http://en.wikipedia.org/wiki/Salcatonin" 	salcatonin	http://en.wikipedia.org/wiki/Salcatonin			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:male:cheyenne_woods	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Cheyenne%20Woods	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Cheyenne Woods" 	"http://en.wikipedia.org/wiki/Cheyenne%20Woods" 	Cheyenne Woods	http://en.wikipedia.org/wiki/Cheyenne%20Woods			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicianus:thomas_finneran	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Thomas%20Finneran	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Thomas Finneran" 	"http://en.wikipedia.org/wiki/Thomas%20Finneran" 	Thomas Finneran	http://en.wikipedia.org/wiki/Thomas%20Finneran			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mammal:eucosmodon	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Eucosmodon	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Eucosmodon" "eucosmodon" 	"http://en.wikipedia.org/wiki/Eucosmodon" 	Eucosmodon	http://en.wikipedia.org/wiki/Eucosmodon			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicsblog:quami_ekta	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Quami%20Ekta	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Quami Ekta" 	"http://en.wikipedia.org/wiki/Quami%20Ekta" 	Quami Ekta	http://en.wikipedia.org/wiki/Quami%20Ekta			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:celebrity:rosalind_ivan	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Rosalind%20Ivan	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Rosalind Ivan" 	"http://en.wikipedia.org/wiki/Rosalind%20Ivan" 	Rosalind Ivan	http://en.wikipedia.org/wiki/Rosalind%20Ivan			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
